"País","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","inflación","pbi","celulares","pob_aglo","pob_ciudad","Poblacion Activa","Desempleo","Años Obligatorios de Educacion"
"Irlanda",9.58,7.86,8.33,10,10,0.818947196760206,6.83804780403608,103.1710486,24.6835422232705,39.0747797172002,2385556,"5.7399997711181596",10
"Israel",9.17,7.5,8.89,7.5,5.88,1.15142608017476,1.47961747988643,127.6618693,57.930157157653,48.858904760037,4102822,"3.9979999065399201",15
"Italia",9.58,6.07,7.78,6.88,8.24,0.897785763353639,0.989882105751775,137.466947,18.7441544238367,9.89126402356548,26034264,"10.6099996566772",12
"Japón",8.75,8.21,6.67,7.5,8.82,-0.0979218330334817,0.526738907751749,141.4069924,64.6280420867611,32.3223008102939,68358370,"2.4000000953674299",9
"Jordania",3.58,4.29,3.89,4.38,3.53,1.76506156195033,0.129635568275077,87.62148885,20.7370401659862,22.7932168226138,2579658,"14.9589996337891",10
"Kuwait",3.17,4.29,3.89,4.38,3.53,14.5902471461894,-0.741130963542489,171.6053322,72.2515004911401,72.2515004911401,2383249,"2.07599997520447",9
"Líbano",3.92,2.21,6.67,5.63,4.71,5.45761428937841,-2.45697312280303,64.49805872,34.8269399942327,39.311165343918,2381501,"6.1430001258850098",10
"Madagascar",6.08,3.57,6.11,5.63,4.71,7.58254319797314,1.81023889935288,40.57034123,11.6455111740114,31.3127141278542,13409202,"1.6890000104904199",5
"Malasia",7.75,7.86,6.67,6.25,5.88,0.71190565562911,3.3345011012496,134.5259947,23.9906484861277,31.5516970601393,15381536,"3.3499999046325701",6
"Malí",7.42,3.93,3.89,5.63,6.18,2.08703872925946,1.54965784177431,115.0846727,12.8251848101107,30.2795009149134,7086706,"7.1100001335143999",9
"Marruecos",5.25,4.64,5,5.63,4.41,1.0660233458723,1.68827508535729,124.1715549,21.7315718183433,16.3704746014871,11918297,"9.0780000686645508",9
"Mauritania",3,3.57,5,3.13,4.41,1.80833187829799,-0.684871982415757,103.7060504,27.375123174133,51.004485583805,1210148,"9.4639997482299805",9
"México",8.33,6.07,7.22,3.13,6.18,4.96688092532254,0.991932458168463,95.2316028,40.7090420895066,21.3355771014877,56253063,"3.2829999923706099",14
"Mongolia",9.17,5.71,5.56,5,7.06,8.41183491671578,5.33766339058026,133.1783386,47.9583989441702,70.0685162884606,1319351,"6.2540001869201696",12
"Nepal",4.33,5.36,5,5.63,5.59,6.70063545527202,4.95069677873525,139.4463618,4.73418579856052,23.9827030021935,16359487,"1.3500000238418599",10
"Nicaragua",2.67,1.86,3.89,5.63,4.12,3.59246623097648,-5.14914016579304,115.0959067,16.2078863657068,27.6953697762113,2992406,"5.1999998092651403",7
"Nigeria",6.08,4.64,3.33,3.75,4.41,10.2284850900327,-0.679719293893655,88.18424125,16.5138200055811,13.6530372484442,58403811,"8.2430000305175799",9
"Noruega",10,9.64,10,10,9.71,5.78159199736361,0.623147013717045,107.1737116,19.0557418453153,23.168636821933,2799958,"3.7999999523162802",10
"Omán",0,3.93,2.78,4.38,4.12,10.3423703651869,-1.68277807762448,139.9674164,29.9527506360412,35.430686365254,2701563,"2.8640000820159899",10
"Países Bajos",9.58,9.29,8.33,8.13,9.12,2.20778826560264,2.00009858507431,123.7312099,12.4159510444285,7.17839968289677,9227941,"3.8299999237060498",13
"Pakistán",6.08,5.36,2.22,2.5,4.71,2.45928609500187,3.68276203552507,72.55706103,20.0718671999811,19.7918930572625,72040845,"4.0830001831054696",12
"Panamá",9.58,6.07,6.67,5,7.94,0.948617363108809,1.95179809298511,137.0014238,42.6991675351393,63.0627636248687,2029802,"3.8940000534057599",11
"Paraguay",8.75,5.71,5,4.38,7.35,2.18674624208246,2.02947951100916,106.9525792,46.3221120083449,75.2165552104906,3534912,"4.5339999198913601",13
"Perú",9.17,5,5.56,5.63,7.65,2.01623291258031,2.20561703131051,131.7778873,32.4815525562708,41.6927261076316,18346713,"3.3900001049041699",14
"Polonia",9.17,6.07,6.11,4.38,7.65,1.17943338717572,5.34923595322803,134.7484225,4.65519325341181,7.75116275245951,18391322,"3.8450000286102299",10
"Portugal",9.58,7.5,6.11,6.88,9.12,1.58612975001257,2.80170349737396,115.6330424,41.1738942972759,43.6510008748643,5267545,"6.9930000305175799",12
"Reino Unido",9.58,7.5,8.33,8.13,9.12,2.13684057763119,0.72852423953023,118.3651292,26.8304584761102,16.3215591907697,34329233,"3.99600005149841",11
"República Checa",9.58,6.79,6.67,6.88,8.53,2.55525021636672,2.50268690428224,119.1135078,12.1501481477579,16.4654012296731,5453301,"2.2430000305175799",9
"República Dominicana",9.17,5.36,6.11,5,7.06,4.12148968696981,5.83455956577403,84.10208352,29.8494659676405,36.8175557007141,4917459,"5.7389998435974103",15
"Rumania",9.17,5.71,5,4.38,7.65,6.29911462409109,5.05226642463357,116.0354133,9.35357961684002,17.3220850450104,9054882,"4.1869997978210396",10
"Senegal",7.5,6.07,4.44,6.25,6.47,-0.487444709665809,3.46093526161526,104.450641,18.7861194018554,39.807845239034,4122004,"6.52699995040894",11
